Juridiction,Policy_Text,Initiative_Résumé,Année
BRAZIL,"Brazil published an AI Strategy, as well as a summary. The strategy proposes to finance research projects that apply ethical solutions, establish technical requirements that advance ethical applications, develop techniques to mitigate algorithmic bias, create parameters around human intervention where automated decisions may create high-risk situations, and implement codes of conduct to encourage traceability and safeguard legal rights. Brazil also strives to encourage data sharing per its data protection law, the LGPD, create an AI observatory for measuring impact and disseminate open- source codes for identifying discriminatory trends.
Brazil introduced a comprehensive AI bill, which emphasizes human rights and creates a civil liability regime for AI developers, to its Senate. The proposed AI bill would:
•  Prohibit certain ""excessive risk"" systems.
•  Establish a regulatory body to enforce the law.
•  Create civil liability for AI providers.
•  Require reporting obligations for significant security incidents.
•  Guarantee various individual rights, such as explanation, nondiscrimination, rectification of identified biases and due process mechanisms.
In July 2023, the country's DPA, the Autoridade Nacional de Proteção de Dados, published a Preliminary Analysis of Bill No. 2338/2023, which provides for the use of AI in Brazil. Further, the ANPD has now published its final opinion on
Bill 2338/2023.","Prohibit certain ""excessive risk"" systems.",
BRAZIL,"Brazil published an AI Strategy, as well as a summary. The strategy proposes to finance research projects that apply ethical solutions, establish technical requirements that advance ethical applications, develop techniques to mitigate algorithmic bias, create parameters around human intervention where automated decisions may create high-risk situations, and implement codes of conduct to encourage traceability and safeguard legal rights. Brazil also strives to encourage data sharing per its data protection law, the LGPD, create an AI observatory for measuring impact and disseminate open- source codes for identifying discriminatory trends.
Brazil introduced a comprehensive AI bill, which emphasizes human rights and creates a civil liability regime for AI developers, to its Senate. The proposed AI bill would:
•  Prohibit certain ""excessive risk"" systems.
•  Establish a regulatory body to enforce the law.
•  Create civil liability for AI providers.
•  Require reporting obligations for significant security incidents.
•  Guarantee various individual rights, such as explanation, nondiscrimination, rectification of identified biases and due process mechanisms.
In July 2023, the country's DPA, the Autoridade Nacional de Proteção de Dados, published a Preliminary Analysis of Bill No. 2338/2023, which provides for the use of AI in Brazil. Further, the ANPD has now published its final opinion on
Bill 2338/2023.",Establish a regulatory body to enforce the law.,
BRAZIL,"Brazil published an AI Strategy, as well as a summary. The strategy proposes to finance research projects that apply ethical solutions, establish technical requirements that advance ethical applications, develop techniques to mitigate algorithmic bias, create parameters around human intervention where automated decisions may create high-risk situations, and implement codes of conduct to encourage traceability and safeguard legal rights. Brazil also strives to encourage data sharing per its data protection law, the LGPD, create an AI observatory for measuring impact and disseminate open- source codes for identifying discriminatory trends.
Brazil introduced a comprehensive AI bill, which emphasizes human rights and creates a civil liability regime for AI developers, to its Senate. The proposed AI bill would:
•  Prohibit certain ""excessive risk"" systems.
•  Establish a regulatory body to enforce the law.
•  Create civil liability for AI providers.
•  Require reporting obligations for significant security incidents.
•  Guarantee various individual rights, such as explanation, nondiscrimination, rectification of identified biases and due process mechanisms.
In July 2023, the country's DPA, the Autoridade Nacional de Proteção de Dados, published a Preliminary Analysis of Bill No. 2338/2023, which provides for the use of AI in Brazil. Further, the ANPD has now published its final opinion on
Bill 2338/2023.",Create civil liability for AI providers.,
BRAZIL,"Brazil published an AI Strategy, as well as a summary. The strategy proposes to finance research projects that apply ethical solutions, establish technical requirements that advance ethical applications, develop techniques to mitigate algorithmic bias, create parameters around human intervention where automated decisions may create high-risk situations, and implement codes of conduct to encourage traceability and safeguard legal rights. Brazil also strives to encourage data sharing per its data protection law, the LGPD, create an AI observatory for measuring impact and disseminate open- source codes for identifying discriminatory trends.
Brazil introduced a comprehensive AI bill, which emphasizes human rights and creates a civil liability regime for AI developers, to its Senate. The proposed AI bill would:
•  Prohibit certain ""excessive risk"" systems.
•  Establish a regulatory body to enforce the law.
•  Create civil liability for AI providers.
•  Require reporting obligations for significant security incidents.
•  Guarantee various individual rights, such as explanation, nondiscrimination, rectification of identified biases and due process mechanisms.
In July 2023, the country's DPA, the Autoridade Nacional de Proteção de Dados, published a Preliminary Analysis of Bill No. 2338/2023, which provides for the use of AI in Brazil. Further, the ANPD has now published its final opinion on
Bill 2338/2023.",Require reporting obligations for significant security incidents.,
BRAZIL,"Brazil published an AI Strategy, as well as a summary. The strategy proposes to finance research projects that apply ethical solutions, establish technical requirements that advance ethical applications, develop techniques to mitigate algorithmic bias, create parameters around human intervention where automated decisions may create high-risk situations, and implement codes of conduct to encourage traceability and safeguard legal rights. Brazil also strives to encourage data sharing per its data protection law, the LGPD, create an AI observatory for measuring impact and disseminate open- source codes for identifying discriminatory trends.
Brazil introduced a comprehensive AI bill, which emphasizes human rights and creates a civil liability regime for AI developers, to its Senate. The proposed AI bill would:
•  Prohibit certain ""excessive risk"" systems.
•  Establish a regulatory body to enforce the law.
•  Create civil liability for AI providers.
•  Require reporting obligations for significant security incidents.
•  Guarantee various individual rights, such as explanation, nondiscrimination, rectification of identified biases and due process mechanisms.
In July 2023, the country's DPA, the Autoridade Nacional de Proteção de Dados, published a Preliminary Analysis of Bill No. 2338/2023, which provides for the use of AI in Brazil. Further, the ANPD has now published its final opinion on
Bill 2338/2023.","Guarantee various individual rights, such as explanation, nondiscrimination, rectification of identified biases and due process mechanisms.",
BRAZIL,"Brazil published an AI Strategy, as well as a summary. The strategy proposes to finance research projects that apply ethical solutions, establish technical requirements that advance ethical applications, develop techniques to mitigate algorithmic bias, create parameters around human intervention where automated decisions may create high-risk situations, and implement codes of conduct to encourage traceability and safeguard legal rights. Brazil also strives to encourage data sharing per its data protection law, the LGPD, create an AI observatory for measuring impact and disseminate open- source codes for identifying discriminatory trends.
Brazil introduced a comprehensive AI bill, which emphasizes human rights and creates a civil liability regime for AI developers, to its Senate. The proposed AI bill would:
•  Prohibit certain ""excessive risk"" systems.
•  Establish a regulatory body to enforce the law.
•  Create civil liability for AI providers.
•  Require reporting obligations for significant security incidents.
•  Guarantee various individual rights, such as explanation, nondiscrimination, rectification of identified biases and due process mechanisms.
In July 2023, the country's DPA, the Autoridade Nacional de Proteção de Dados, published a Preliminary Analysis of Bill No. 2338/2023, which provides for the use of AI in Brazil. Further, the ANPD has now published its final opinion on
Bill 2338/2023.","Brazil published an AI Strategy, as well as a summary.",
BRAZIL,"Brazil published an AI Strategy, as well as a summary. The strategy proposes to finance research projects that apply ethical solutions, establish technical requirements that advance ethical applications, develop techniques to mitigate algorithmic bias, create parameters around human intervention where automated decisions may create high-risk situations, and implement codes of conduct to encourage traceability and safeguard legal rights. Brazil also strives to encourage data sharing per its data protection law, the LGPD, create an AI observatory for measuring impact and disseminate open- source codes for identifying discriminatory trends.
Brazil introduced a comprehensive AI bill, which emphasizes human rights and creates a civil liability regime for AI developers, to its Senate. The proposed AI bill would:
•  Prohibit certain ""excessive risk"" systems.
•  Establish a regulatory body to enforce the law.
•  Create civil liability for AI providers.
•  Require reporting obligations for significant security incidents.
•  Guarantee various individual rights, such as explanation, nondiscrimination, rectification of identified biases and due process mechanisms.
In July 2023, the country's DPA, the Autoridade Nacional de Proteção de Dados, published a Preliminary Analysis of Bill No. 2338/2023, which provides for the use of AI in Brazil. Further, the ANPD has now published its final opinion on
Bill 2338/2023.","The strategy proposes to finance research projects that apply ethical solutions, establish technical requirements that advance ethical applications, develop techniques to mitigate algorithmic bias, create parameters around human intervention where automated decisions may create high-risk situations, and implement codes of conduct to encourage traceability and safeguard legal rights.",
BRAZIL,"Brazil published an AI Strategy, as well as a summary. The strategy proposes to finance research projects that apply ethical solutions, establish technical requirements that advance ethical applications, develop techniques to mitigate algorithmic bias, create parameters around human intervention where automated decisions may create high-risk situations, and implement codes of conduct to encourage traceability and safeguard legal rights. Brazil also strives to encourage data sharing per its data protection law, the LGPD, create an AI observatory for measuring impact and disseminate open- source codes for identifying discriminatory trends.
Brazil introduced a comprehensive AI bill, which emphasizes human rights and creates a civil liability regime for AI developers, to its Senate. The proposed AI bill would:
•  Prohibit certain ""excessive risk"" systems.
•  Establish a regulatory body to enforce the law.
•  Create civil liability for AI providers.
•  Require reporting obligations for significant security incidents.
•  Guarantee various individual rights, such as explanation, nondiscrimination, rectification of identified biases and due process mechanisms.
In July 2023, the country's DPA, the Autoridade Nacional de Proteção de Dados, published a Preliminary Analysis of Bill No. 2338/2023, which provides for the use of AI in Brazil. Further, the ANPD has now published its final opinion on
Bill 2338/2023.","Brazil introduced a comprehensive AI bill, which emphasizes human rights and creates a civil liability regime for AI developers, to its Senate.",
BRAZIL,"Brazil published an AI Strategy, as well as a summary. The strategy proposes to finance research projects that apply ethical solutions, establish technical requirements that advance ethical applications, develop techniques to mitigate algorithmic bias, create parameters around human intervention where automated decisions may create high-risk situations, and implement codes of conduct to encourage traceability and safeguard legal rights. Brazil also strives to encourage data sharing per its data protection law, the LGPD, create an AI observatory for measuring impact and disseminate open- source codes for identifying discriminatory trends.
Brazil introduced a comprehensive AI bill, which emphasizes human rights and creates a civil liability regime for AI developers, to its Senate. The proposed AI bill would:
•  Prohibit certain ""excessive risk"" systems.
•  Establish a regulatory body to enforce the law.
•  Create civil liability for AI providers.
•  Require reporting obligations for significant security incidents.
•  Guarantee various individual rights, such as explanation, nondiscrimination, rectification of identified biases and due process mechanisms.
In July 2023, the country's DPA, the Autoridade Nacional de Proteção de Dados, published a Preliminary Analysis of Bill No. 2338/2023, which provides for the use of AI in Brazil. Further, the ANPD has now published its final opinion on
Bill 2338/2023.","The proposed AI bill would:
In July 2023, the country's DPA, the Autoridade Nacional de Proteção de Dados, published a Preliminary Analysis of Bill No. 2338/2023, which provides for the use of AI in Brazil.",2023.0
BRAZIL,"Brazil published an AI Strategy, as well as a summary. The strategy proposes to finance research projects that apply ethical solutions, establish technical requirements that advance ethical applications, develop techniques to mitigate algorithmic bias, create parameters around human intervention where automated decisions may create high-risk situations, and implement codes of conduct to encourage traceability and safeguard legal rights. Brazil also strives to encourage data sharing per its data protection law, the LGPD, create an AI observatory for measuring impact and disseminate open- source codes for identifying discriminatory trends.
Brazil introduced a comprehensive AI bill, which emphasizes human rights and creates a civil liability regime for AI developers, to its Senate. The proposed AI bill would:
•  Prohibit certain ""excessive risk"" systems.
•  Establish a regulatory body to enforce the law.
•  Create civil liability for AI providers.
•  Require reporting obligations for significant security incidents.
•  Guarantee various individual rights, such as explanation, nondiscrimination, rectification of identified biases and due process mechanisms.
In July 2023, the country's DPA, the Autoridade Nacional de Proteção de Dados, published a Preliminary Analysis of Bill No. 2338/2023, which provides for the use of AI in Brazil. Further, the ANPD has now published its final opinion on
Bill 2338/2023.","Further, the ANPD has now published its final opinion on
Bill 2338/2023.",2023.0
CANADA,"Canada's anticipated AI and Data Act, part of Bill C-27, is intended to protect Canadians from high-risk systems, ensure the development of responsible AI, and position Canadian firms and values for adoption in global AI development. The AIDA would:
•  Ensure high-impact AI systems meet existing safety and human rights expectations.
•  Prohibit reckless and malicious uses of AI.
•  Empower the Minister of Innovation, Science and Industry to enforce the act.
Canada published a code of practice for generative AI development and use in anticipation of, and to assure compliance with, the AI and Data Act.
The country also issued a Directive on Automated  Decision-Making, which imposes several requirements on the federal government's
use of automated decision-making systems.",Ensure high-impact AI systems meet existing safety and human rights expectations.,
CANADA,"Canada's anticipated AI and Data Act, part of Bill C-27, is intended to protect Canadians from high-risk systems, ensure the development of responsible AI, and position Canadian firms and values for adoption in global AI development. The AIDA would:
•  Ensure high-impact AI systems meet existing safety and human rights expectations.
•  Prohibit reckless and malicious uses of AI.
•  Empower the Minister of Innovation, Science and Industry to enforce the act.
Canada published a code of practice for generative AI development and use in anticipation of, and to assure compliance with, the AI and Data Act.
The country also issued a Directive on Automated  Decision-Making, which imposes several requirements on the federal government's
use of automated decision-making systems.",Prohibit reckless and malicious uses of AI.,
CANADA,"Canada's anticipated AI and Data Act, part of Bill C-27, is intended to protect Canadians from high-risk systems, ensure the development of responsible AI, and position Canadian firms and values for adoption in global AI development. The AIDA would:
•  Ensure high-impact AI systems meet existing safety and human rights expectations.
•  Prohibit reckless and malicious uses of AI.
•  Empower the Minister of Innovation, Science and Industry to enforce the act.
Canada published a code of practice for generative AI development and use in anticipation of, and to assure compliance with, the AI and Data Act.
The country also issued a Directive on Automated  Decision-Making, which imposes several requirements on the federal government's
use of automated decision-making systems.","Empower the Minister of Innovation, Science and Industry to enforce the act.",
CANADA,"Canada's anticipated AI and Data Act, part of Bill C-27, is intended to protect Canadians from high-risk systems, ensure the development of responsible AI, and position Canadian firms and values for adoption in global AI development. The AIDA would:
•  Ensure high-impact AI systems meet existing safety and human rights expectations.
•  Prohibit reckless and malicious uses of AI.
•  Empower the Minister of Innovation, Science and Industry to enforce the act.
Canada published a code of practice for generative AI development and use in anticipation of, and to assure compliance with, the AI and Data Act.
The country also issued a Directive on Automated  Decision-Making, which imposes several requirements on the federal government's
use of automated decision-making systems.","Canada's anticipated AI and Data Act, part of Bill C-27, is intended to protect Canadians from high-risk systems, ensure the development of responsible AI, and position Canadian firms and values for adoption in global AI development.",
CANADA,"Canada's anticipated AI and Data Act, part of Bill C-27, is intended to protect Canadians from high-risk systems, ensure the development of responsible AI, and position Canadian firms and values for adoption in global AI development. The AIDA would:
•  Ensure high-impact AI systems meet existing safety and human rights expectations.
•  Prohibit reckless and malicious uses of AI.
•  Empower the Minister of Innovation, Science and Industry to enforce the act.
Canada published a code of practice for generative AI development and use in anticipation of, and to assure compliance with, the AI and Data Act.
The country also issued a Directive on Automated  Decision-Making, which imposes several requirements on the federal government's
use of automated decision-making systems.","The AIDA would:
Canada published a code of practice for generative AI development and use in anticipation of, and to assure compliance with, the AI and Data Act.",
CANADA,"Canada's anticipated AI and Data Act, part of Bill C-27, is intended to protect Canadians from high-risk systems, ensure the development of responsible AI, and position Canadian firms and values for adoption in global AI development. The AIDA would:
•  Ensure high-impact AI systems meet existing safety and human rights expectations.
•  Prohibit reckless and malicious uses of AI.
•  Empower the Minister of Innovation, Science and Industry to enforce the act.
Canada published a code of practice for generative AI development and use in anticipation of, and to assure compliance with, the AI and Data Act.
The country also issued a Directive on Automated  Decision-Making, which imposes several requirements on the federal government's
use of automated decision-making systems.","The country also issued a Directive on Automated  Decision-Making, which imposes several requirements on the federal government's
use of automated decision-making systems.",
CHILE,"In October 2021, Chile published it's first National Policy and Action Plan on AI on AI. The country's previous Minister of Science, Technology, Knowledge and Innovation Andrés Couve explained the policy is built on the following:
•  Development of enabling factors.
•  Use and development of AI technology.
•  Aspects of ethics and safety.
In May 2024, Chile introduced a draft AI  legislation that promotes AI while ensuring human rights. The risk-based legislation also promotes self-regulation.",Development of enabling factors.,
CHILE,"In October 2021, Chile published it's first National Policy and Action Plan on AI on AI. The country's previous Minister of Science, Technology, Knowledge and Innovation Andrés Couve explained the policy is built on the following:
•  Development of enabling factors.
•  Use and development of AI technology.
•  Aspects of ethics and safety.
In May 2024, Chile introduced a draft AI  legislation that promotes AI while ensuring human rights. The risk-based legislation also promotes self-regulation.",Use and development of AI technology.,
CHILE,"In October 2021, Chile published it's first National Policy and Action Plan on AI on AI. The country's previous Minister of Science, Technology, Knowledge and Innovation Andrés Couve explained the policy is built on the following:
•  Development of enabling factors.
•  Use and development of AI technology.
•  Aspects of ethics and safety.
In May 2024, Chile introduced a draft AI  legislation that promotes AI while ensuring human rights. The risk-based legislation also promotes self-regulation.",Aspects of ethics and safety.,
CHILE,"In October 2021, Chile published it's first National Policy and Action Plan on AI on AI. The country's previous Minister of Science, Technology, Knowledge and Innovation Andrés Couve explained the policy is built on the following:
•  Development of enabling factors.
•  Use and development of AI technology.
•  Aspects of ethics and safety.
In May 2024, Chile introduced a draft AI  legislation that promotes AI while ensuring human rights. The risk-based legislation also promotes self-regulation.","In October 2021, Chile published it's first National Policy and Action Plan on AI on AI.",2021.0
CHILE,"In October 2021, Chile published it's first National Policy and Action Plan on AI on AI. The country's previous Minister of Science, Technology, Knowledge and Innovation Andrés Couve explained the policy is built on the following:
•  Development of enabling factors.
•  Use and development of AI technology.
•  Aspects of ethics and safety.
In May 2024, Chile introduced a draft AI  legislation that promotes AI while ensuring human rights. The risk-based legislation also promotes self-regulation.","The country's previous Minister of Science, Technology, Knowledge and Innovation Andrés Couve explained the policy is built on the following:
In May 2024, Chile introduced a draft AI  legislation that promotes AI while ensuring human rights.",2024.0
CHILE,"In October 2021, Chile published it's first National Policy and Action Plan on AI on AI. The country's previous Minister of Science, Technology, Knowledge and Innovation Andrés Couve explained the policy is built on the following:
•  Development of enabling factors.
•  Use and development of AI technology.
•  Aspects of ethics and safety.
In May 2024, Chile introduced a draft AI  legislation that promotes AI while ensuring human rights. The risk-based legislation also promotes self-regulation.",The risk-based legislation also promotes self-regulation.,
CHINA,"China has been proactive in adopting legislation around the use of AI, with several national laws currently in place. Recently, a draft of the Artificial Intelligence Law of the People's Republic of China was proposed by scholars. This law would set forth requirements specifically for developers and deployers of AI for AI generally and for high-risk or ""critical"" AI-based systems. Currently, the laws governing AI in China are specific to  AI use cases. These include:
•  Algorithmic Recommendation Management  Provisions  [IN FORCE]
•  Interim Measures for the Management of  Generative AI Services  [IN FORCE]
•  Deep Synthesis Management Provisions
[IN FORCE]
•  AI guidelines and summary of regulations
[IN FORCE]
•  Scientific and Technological Ethics Regulation
[IN FORCE]
•  Next Generation AI Development Plan
[IN FORCE]",Algorithmic Recommendation Management  Provisions  [IN FORCE],
CHINA,"China has been proactive in adopting legislation around the use of AI, with several national laws currently in place. Recently, a draft of the Artificial Intelligence Law of the People's Republic of China was proposed by scholars. This law would set forth requirements specifically for developers and deployers of AI for AI generally and for high-risk or ""critical"" AI-based systems. Currently, the laws governing AI in China are specific to  AI use cases. These include:
•  Algorithmic Recommendation Management  Provisions  [IN FORCE]
•  Interim Measures for the Management of  Generative AI Services  [IN FORCE]
•  Deep Synthesis Management Provisions
[IN FORCE]
•  AI guidelines and summary of regulations
[IN FORCE]
•  Scientific and Technological Ethics Regulation
[IN FORCE]
•  Next Generation AI Development Plan
[IN FORCE]",Interim Measures for the Management of  Generative AI Services  [IN FORCE],
CHINA,"China has been proactive in adopting legislation around the use of AI, with several national laws currently in place. Recently, a draft of the Artificial Intelligence Law of the People's Republic of China was proposed by scholars. This law would set forth requirements specifically for developers and deployers of AI for AI generally and for high-risk or ""critical"" AI-based systems. Currently, the laws governing AI in China are specific to  AI use cases. These include:
•  Algorithmic Recommendation Management  Provisions  [IN FORCE]
•  Interim Measures for the Management of  Generative AI Services  [IN FORCE]
•  Deep Synthesis Management Provisions
[IN FORCE]
•  AI guidelines and summary of regulations
[IN FORCE]
•  Scientific and Technological Ethics Regulation
[IN FORCE]
•  Next Generation AI Development Plan
[IN FORCE]",Deep Synthesis Management Provisions,
CHINA,"China has been proactive in adopting legislation around the use of AI, with several national laws currently in place. Recently, a draft of the Artificial Intelligence Law of the People's Republic of China was proposed by scholars. This law would set forth requirements specifically for developers and deployers of AI for AI generally and for high-risk or ""critical"" AI-based systems. Currently, the laws governing AI in China are specific to  AI use cases. These include:
•  Algorithmic Recommendation Management  Provisions  [IN FORCE]
•  Interim Measures for the Management of  Generative AI Services  [IN FORCE]
•  Deep Synthesis Management Provisions
[IN FORCE]
•  AI guidelines and summary of regulations
[IN FORCE]
•  Scientific and Technological Ethics Regulation
[IN FORCE]
•  Next Generation AI Development Plan
[IN FORCE]",AI guidelines and summary of regulations,
CHINA,"China has been proactive in adopting legislation around the use of AI, with several national laws currently in place. Recently, a draft of the Artificial Intelligence Law of the People's Republic of China was proposed by scholars. This law would set forth requirements specifically for developers and deployers of AI for AI generally and for high-risk or ""critical"" AI-based systems. Currently, the laws governing AI in China are specific to  AI use cases. These include:
•  Algorithmic Recommendation Management  Provisions  [IN FORCE]
•  Interim Measures for the Management of  Generative AI Services  [IN FORCE]
•  Deep Synthesis Management Provisions
[IN FORCE]
•  AI guidelines and summary of regulations
[IN FORCE]
•  Scientific and Technological Ethics Regulation
[IN FORCE]
•  Next Generation AI Development Plan
[IN FORCE]",Scientific and Technological Ethics Regulation,
